Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Connection Type
192.168.1.1-192.168.1.7-0-0-0,192.168.1.1,0,192.168.1.7,0,0,2023-02-11 13:28:44,1957,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.972406745018,1957.0,0.0,1957.0,1957.0,1957.0,1957.0,0.0,1957.0,1957.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1021.972406745018,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1698946124063871.0,0.0,1698946124063871.0,1698946124063871.0,ARP Spoofing,wireless
192.168.1.129-192.168.1.183-0-0-0,192.168.1.129,0,192.168.1.183,0,0,2023-02-11 12:35:04,102611,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.473263100447326,20522.2,35196.71935990626,83367.0,2685.0,11214.0,5607.0,3607.658797613765,8158.0,3056.0,99926.0,49963.0,59302.21731099099,91896.0,8030.0,0,0,0,0,29.236631550223663,29.236631550223663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1698942904514809.0,0.0,1698942904514809.0,1698942904514809.0,ARP Spoofing,wireless
192.168.1.129-192.168.1.43-0-0-0,192.168.1.129,0,192.168.1.43,0,0,2023-02-11 12:35:04,7454,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.6246310705661,2484.6666666666665,2117.963723327983,3791.0,41.0,7454.0,3727.0,90.50966799187808,3791.0,3663.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,402.4684733029246,134.15615776764153,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1698942904538251.0,0.0,1698942904538251.0,1698942904538251.0,ARP Spoofing,wireless
192.168.1.17-52.127.72.34-51233-443-6,192.168.1.17,51233,52.127.72.34,443,6,03/11/2023 10:50:18 AM,16743570,2,3,52.0,46.0,46.0,6.0,26.0,28.284271247461906,46.0,0.0,15.333333333333332,26.558112382722783,5.8529931191496205,0.2986220979157969,4185892.5,8323607.019067254,16671255.0,1604.0,16687725.0,16687725.0,0.0,16687725.0,16687725.0,16728704.0,8364352.0,11747734.88391775,16671255.0,57449.0,0,0,40,72,0.1194488391663187,0.1791732587494781,0.0,46.0,17.333333333333336,22.366641828103447,500.2666666666667,0,0,0,2,5,0,0,0,1.0,20.8,26.0,15.333333333333334,0,0,0,0,10,9,510,2044,1,20,14866.0,0.0,14866.0,14866.0,849511517781879.5,1201390686262571.8,1699023018892504.0,16671255.0,Benign,wired
192.168.1.81-224.0.0.252-5355-5355-17,192.168.1.81,5355,224.0.0.252,5355,17,03/11/2023 10:26:48 AM,2458098,3,0,96.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,39.05458610681917,1.2204558158380991,1229049.0,1.4142135623730951,1229050.0,1229048.0,2458098.0,1229049.0,1.4142135623730951,1229050.0,1229048.0,0.0,0.0,0.0,0.0,0.0,0,0,24,0,1.2204558158380991,0.0,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,42.66666666666666,32.0,0.0,0,0,0,1,32,0,0,0,2,8,0.0,0.0,0.0,0.0,1699021608708826.0,0.0,1699021608708826.0,1699021608708826.0,Benign,wireless
52.119.198.101-192.168.1.81-443-33726-6,52.119.198.101,443,192.168.1.81,33726,6,2023-02-11 13:39:23,5308,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,4521.4770158251695,565.1846269781462,2654.0,3495.935926186291,5126.0,182.0,5308.0,2654.0,3495.935926186291,5126.0,182.0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,565.1846269781462,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,1,8,0,506,0,1,32,0.0,0.0,0.0,0.0,1698946763161339.0,0.0,1698946763161339.0,1698946763161339.0,Benign,wireless
192.168.1.211-192.168.1.1-46219-53-17,192.168.1.211,46219,192.168.1.1,53,17,2023-01-11 11:33:27,6828,1,1,28.0,101.0,28.0,28.0,28.0,0.0,101.0,101.0,101.0,0.0,18892.79437609842,292.9115407147042,6828.0,0.0,6828.0,6828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,8,146.4557703573521,146.4557703573521,28.0,101.0,52.33333333333333,42.14656965084268,1776.3333333333333,0,0,0,0,0,0,0,0,1.0,78.5,28.0,101.0,0,0,0,0,14,50,0,0,0,8,0.0,0.0,0.0,0.0,1698852807955720.0,0.0,1698852807955720.0,1698852807955720.0,DNS Flood,wired
192.168.1.211-192.168.1.1-33709-53-17,192.168.1.211,33709,192.168.1.1,53,17,2023-01-11 11:24:26,7731,1,1,28.0,101.0,28.0,28.0,28.0,0.0,101.0,101.0,101.0,0.0,16686.069072565,258.69874531108525,7731.0,0.0,7731.0,7731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,8,129.34937265554262,129.34937265554262,28.0,101.0,52.33333333333333,42.14656965084268,1776.3333333333333,0,0,0,0,0,0,0,0,1.0,78.5,28.0,101.0,0,0,0,0,14,50,0,0,0,8,0.0,0.0,0.0,0.0,1698852266294271.0,0.0,1698852266294271.0,1698852266294271.0,DNS Flood,wired
192.168.1.211-192.168.1.1-46580-53-17,192.168.1.211,46580,192.168.1.1,53,17,2023-01-11 11:26:35,2628133,3,0,84.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,31.961852767725222,1.1414947417044723,1314066.5,1854109.6406967144,2625120.0,3013.0,2628133.0,1314066.5,1854109.6406967144,2625120.0,3013.0,0.0,0.0,0.0,0.0,0.0,0,0,24,0,1.1414947417044723,0.0,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,37.333333333333336,28.0,0.0,0,0,0,1,28,0,0,0,2,8,0.0,0.0,0.0,0.0,1698852395628953.0,0.0,1698852395628953.0,1698852395628953.0,DNS Flood,wired
192.168.1.45-192.168.1.211-50520-22-6,192.168.1.45,50520,192.168.1.211,22,6,2023-02-11 09:43:57,3479,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.8778384593274,3479.0,0.0,3479.0,3479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,44,32,287.4389192296637,287.4389192296637,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,501,503,0,44,0.0,0.0,0.0,0.0,1698932637842527.0,0.0,1698932637842527.0,1698932637842527.0,Dictionary Attack,wireless
